"Event" "Date" "Miyu Yamashita" "KANNA" "Chikage Kiba" "Shoko Nakajima" "Ayumi Takada" "Nonoko" "Yuka Sakazaki" "Ura Erika" "Rika Tatsumi" "Erin" "Saki Akai" "Akane Miura" "Ai Shimizu" "Hyper Misao" "MIZUHO" "Azusa Takigawa" "Saki Akamiya" "Yuu" "Nodoka-Oneesan" "Marika Kobashi" "Candice LeRae" "Maho Kurone" "Hinako" "Reika Saiki" "Mil Clown"
"1" "The First Meeting" 2013-01-30 1510 1490 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "The Second Meeting" 2013-03-25 1519.42498872215 1480.57501127785 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "The Third Meeting" 2013-04-26 1519.42498872215 1471.13352556695 1509.44148571089 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "The Fourth Meeting" 2013-06-06 1529.13771946785 1471.96246297616 1499.7287549652 1499.17106259079 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "The Fifth Meeting" 2013-07-11 1538.27734220765 1462.75994402482 1508.93127391653 1490.031439851 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "The Sixth Meeting" 2013-10-18 1546.13737126746 1454.89991496501 1518.38782890418 1480.57488486335 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "Raising An Army" 2013-12-01 1555.34036924762 1466.19075755393 1509.18483092401 1474.09453625012 1488.70915741108 1506.48034861324 1503.24017430662 1496.75982569338 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "Tokyo Circuit 2014 Round 1" 2014-01-18 1562.8293062976 1458.70182050396 1509.18483092401 1484.5149309406 1478.2887627206 1516.38709160364 1493.33343131621 1496.75982569338 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "Shibuya Entertainment Fight 1" 2014-01-28 1570.85531084456 1450.34704608895 1509.18483092401 1494.96033217193 1478.2887627206 1524.74186601865 1485.30742676924 1496.75982569338 1489.55459876866 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "Tokyo Circuit 2014 Round 2" 2014-02-15 1578.55708395995 1453.70522216131 1518.29790724975 1488.24398002723 1469.17568639486 1531.45821816335 1481.94925069689 1496.75982569338 1481.85282565328 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "Shibuya Entertainment Fight 2" 2014-02-27 1585.84600060283 1445.54322180003 1526.45990761103 1481.928479903 1469.17568639486 1543.90636285148 1474.66033405401 1496.75982569338 1475.72018108938 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "Tokyo Circuit 2014 Round 3" 2014-03-15 1582.28206803114 1458.56513390456 1534.97994544044 1474.80061475962 1469.17568639486 1551.03422799486 1466.1402962246 1496.75982569338 1479.28411366106 1486.97808789547 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "Kawasaki First March" 2014-04-05 1571.38510010018 1469.38110624518 1543.87846321807 1468.74862211542 1469.17568639486 1561.93119592581 1457.11178315957 1496.75982569338 1476.43758852764 1476.16211555485 1509.02851306504 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "Tokyo Circuit 2014 Round 4" 2014-04-26 1578.71098601022 1479.58418020943 1540.57590638789 1462.14350845505 1469.17568639486 1568.53630958618 1460.41433998975 1496.75982569338 1466.23451456339 1468.83622964481 1509.02851306504 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "Tokyo Circuit 2014 Round 5" 2014-05-24 1581.42025381058 1485.00271581014 1551.37893862656 1472.33611663241 1469.17568639486 1557.73327734751 1454.99580438904 1496.75982569338 1463.52524676303 1458.64362146744 1509.02851306504 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "Shibuya Entertainment Fight 3" 2014-06-04 1578.02656088676 1484.14118851916 1561.56181080714 1483.13066880101 1469.17568639486 1547.55040516693 1455.85733168002 1496.75982569338 1463.52524676303 1462.03731439126 1509.02851306504 1489.20544783141 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "Tokyo Circuit 2014 Round 6" 2014-06-22 1584.80685648439 1473.32890726536 1557.35417359235 1477.81501511928 1469.17568639486 1557.07369606345 1466.66961293382 1496.75982569338 1463.52524676303 1455.25701879363 1509.02851306504 1489.20544783141 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "Ririko Kendo Aid" 2014-07-11 1592.12263229065 1470.34257529852 1564.4973438933 1471.84235118559 1469.17568639486 1560.06002803029 1472.64227686751 1496.75982569338 1463.52524676303 1448.11384849268 1509.02851306504 1481.88967202514 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "Tokyo Circuit 2014 Round 7" 2014-07-19 1597.44826694514 1473.00539262576 1554.36963461998 1482.65102374177 1469.17568639486 1570.18773730362 1469.97945954026 1496.75982569338 1463.52524676303 1442.78821383819 1509.02851306504 1481.88967202514 1489.19132744382 NA NA NA NA NA NA NA NA NA NA NA NA
"20" "Natsu Dakara! Shin-Kiba!" 2014-08-02 1584.25934844072 1465.30535139504 1562.0696758507 1488.14471806497 1469.17568639486 1585.07613812332 1462.78628290179 1496.75982569338 1463.52524676303 1436.93768272695 1509.02851306504 1491.58614694548 1485.34538363472 NA NA NA NA NA NA NA NA NA NA NA NA
"21" "Tokyo Circuit 2014 Round 8" 2014-08-30 1586.47978073929 1463.08491909646 1570.7038450265 1482.20979879742 1469.17568639486 1589.51700272047 1458.34541830464 1496.75982569338 1463.52524676303 1428.32202212388 1509.02851306504 1488.88689703723 1493.96104423779 NA NA NA NA NA NA NA NA NA NA NA NA
"22" "Kyushu First Charge! Miyu Yamashita Triumph Local Box Office" 2014-09-06 1593.69137331188 1472.94851375906 1578.53024486328 1474.99820622483 1469.17568639486 1585.91120643417 1448.48182364204 1496.75982569338 1463.52524676303 1431.92781841017 1509.02851306504 1488.88689703723 1486.13464440102 NA NA NA NA NA NA NA NA NA NA NA NA
"23" "Tokyo Circuit 2014 Round 9" 2014-09-27 1596.78120838867 1483.32785898712 1564.95269110693 1481.17787637839 1469.17568639486 1582.82137135739 1462.05937739839 1496.75982569338 1463.52524676303 1425.7481482566 1509.02851306504 1488.88689703723 1475.75529917296 NA NA NA NA NA NA NA NA NA NA NA NA
"24" "Oyaketsu Festa 2014" 2014-10-12 1603.66224272023 1493.26597830317 1564.95269110693 1471.23975706234 1469.17568639486 1579.38085419161 1455.17834306683 1496.75982569338 1463.52524676303 1429.18866542238 1509.02851306504 1488.88689703723 1475.75529917296 NA NA NA NA NA NA NA NA NA NA NA NA
"25" "Ai Shimizu Appearance" 2014-11-01 1612.65568219922 1490.25944718488 1567.65368531665 1462.52570061603 1469.17568639486 1576.40047694921 1449.77635464739 1496.75982569338 1463.52524676303 1426.23444205588 1509.02851306504 1494.28888545667 1481.71605365776 NA NA NA NA NA NA NA NA NA NA NA NA
"26" "Yokohama First Charge!" 2014-11-03 1619.27168060759 1483.64344877651 1574.3853565498 1453.85622331264 1469.17568639486 1583.74076139342 1443.04468341424 1496.75982569338 1463.52524676303 1418.16853395753 1517.69799036843 1502.35479355502 1474.37576921355 NA NA NA NA NA NA NA NA NA NA NA NA
